Statements,True_Results,Predicted_Results,Error
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,REAL,FAKE,False Negative
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",FAKE,REAL,False Positive
Says the U.S. Supreme Court found that Social Security is not guaranteed.,REAL,FAKE,False Negative
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,FAKE,REAL,False Positive
Oregonians have an amazing no-cost way to fight abortion with free political donations,REAL,FAKE,False Negative
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",FAKE,REAL,False Positive
Mr. Caprio is a career politician who has never worked in the private sector.,FAKE,REAL,False Positive
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",FAKE,REAL,False Positive
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",REAL,FAKE,False Negative
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,REAL,FAKE,False Negative
Says the Arizona immigration law expressly bans racial profiling.,REAL,FAKE,False Negative
We (Democrats) have made steady progress creating jobs and improving our schools.,REAL,FAKE,False Negative
Im the only one whos fought against developers draining the Everglades!,FAKE,REAL,False Positive
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,REAL,FAKE,False Negative
We have more illegal immigrants here than we did five years ago.,FAKE,REAL,False Positive
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",FAKE,REAL,False Positive
There are already more American jobs in the solar industry than in coal mining.,REAL,FAKE,False Negative
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",REAL,FAKE,False Negative
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,REAL,FAKE,False Negative
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,REAL,FAKE,False Negative
There are a lot of casinos across the country that have gone bankrupt.,REAL,FAKE,False Negative
Small businesses create 70 percent of the jobs in America.,REAL,FAKE,False Negative
There are more oil rigs in operation in the United States than the rest of the world combined.,FAKE,REAL,False Positive
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",REAL,FAKE,False Negative
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",REAL,FAKE,False Negative
The Obama administration shut down the Amber Alert program because of the government shutdown.,FAKE,REAL,False Positive
The Republicans have 2 percent of the Muslim vote.,REAL,FAKE,False Negative
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",REAL,FAKE,False Negative
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,REAL,FAKE,False Negative
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",FAKE,REAL,False Positive
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",REAL,FAKE,False Negative
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",FAKE,REAL,False Positive
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,FAKE,REAL,False Positive
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,FAKE,REAL,False Positive
Close to 30% of our federal prison population consists of illegal immigrants.,FAKE,REAL,False Positive
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",REAL,FAKE,False Negative
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,REAL,FAKE,False Negative
You ... said that Barack Obama was not ready to be commander in chief.,REAL,FAKE,False Negative
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,REAL,FAKE,False Negative
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,FAKE,REAL,False Positive
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",REAL,FAKE,False Negative
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",REAL,FAKE,False Negative
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,REAL,FAKE,False Negative
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",FAKE,REAL,False Positive
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,REAL,FAKE,False Negative
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",REAL,FAKE,False Negative
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",REAL,FAKE,False Negative
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",REAL,FAKE,False Negative
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",REAL,FAKE,False Negative
The Paul Ryan budget proposal would privatize Medicare.,REAL,FAKE,False Negative
Says Marco Rubio is the one for an open border.,FAKE,REAL,False Positive
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",REAL,FAKE,False Negative
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,REAL,FAKE,False Negative
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",REAL,FAKE,False Negative
We now have driven (health care) costs down to the lowest theyve been in 50 years.,FAKE,REAL,False Positive
"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",REAL,FAKE,False Negative
Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,FAKE,REAL,False Positive
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,FAKE,REAL,False Positive
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,REAL,FAKE,False Negative
"About 230,000 people that were on unemployment when I took office are not on unemployment now.",REAL,FAKE,False Negative
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,FAKE,REAL,False Positive
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,FAKE,REAL,False Positive
"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",FAKE,REAL,False Positive
"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",REAL,FAKE,False Negative
On legalizing illegal immigrants.,REAL,FAKE,False Negative
"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",REAL,FAKE,False Negative
The top 1 percent pay over half of the entire revenue for this country.,FAKE,REAL,False Positive
The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,FAKE,REAL,False Positive
Chris Christie has not increased the taxes on anyone.,REAL,FAKE,False Negative
Says he never said he would keep education funding the same.,FAKE,REAL,False Positive
"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",REAL,FAKE,False Negative
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,FAKE,REAL,False Positive
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,FAKE,REAL,False Positive
Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,REAL,FAKE,False Negative
"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",FAKE,REAL,False Positive
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,FAKE,REAL,False Positive
"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",FAKE,REAL,False Positive
The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,FAKE,REAL,False Positive
We spend less on defense today as % of GDP than at any time since Pearl Harbor.,FAKE,REAL,False Positive
If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,REAL,FAKE,False Negative
"Says Scott Walker wants to ban common forms of birth control, including the pill.",REAL,FAKE,False Negative
"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",REAL,FAKE,False Negative
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",REAL,FAKE,False Negative
The American people support defunding Obamacare and oppose shutting down the government.,FAKE,REAL,False Positive
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,REAL,FAKE,False Negative
"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",REAL,FAKE,False Negative
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",REAL,FAKE,False Negative
This year in Congress (Connie Mack IV) has missed almost half of his votes.,FAKE,REAL,False Positive
"1/3 of our kids drop out (of high school), cannot go to college or start a career.",FAKE,REAL,False Positive
Not even old Gen. Eisenhower saluted military personnel as president.,FAKE,REAL,False Positive
"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",FAKE,REAL,False Positive
74 percent of Republicans support the Affordable Care Act.,FAKE,REAL,False Positive
Says Alex Sink failed Florida homeowners by using predatory lending practices.,FAKE,REAL,False Positive
You cant check out a library book without a photo ID.,FAKE,REAL,False Positive
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,REAL,FAKE,False Negative
"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",REAL,FAKE,False Negative
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,REAL,FAKE,False Negative
The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,REAL,FAKE,False Negative
"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",REAL,FAKE,False Negative
Says he raised average family income by 50 percent during his tenure as Arkansas governor.,FAKE,REAL,False Positive
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,REAL,FAKE,False Negative
"Most young Americans right now, theyre not covered by health insurance.",FAKE,REAL,False Positive
Says two-thirds of groups targeted for IRS scrutiny were not conservative.,FAKE,REAL,False Positive
"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.",FAKE,REAL,False Positive
"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",REAL,FAKE,False Negative
"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.",FAKE,REAL,False Positive
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",REAL,FAKE,False Negative
Says Texas routinely gets a lot more federal spending than it pays in taxes.,REAL,FAKE,False Negative
Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.,FAKE,REAL,False Positive
The Obama administration is unwinding our nations welfare-to-work requirements.,FAKE,REAL,False Positive
"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",REAL,FAKE,False Negative
The Redskins Training Camp deal generated $40 million in new private investment in the city.,REAL,FAKE,False Negative
The GOP budget plan would cut nearly a million jobs.,REAL,FAKE,False Negative
"Shes voted for 60 tax increases, hurting the middle class and small businesses.",FAKE,REAL,False Positive
"Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan.",FAKE,REAL,False Positive
"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.",FAKE,REAL,False Positive
"Republican (small business tax cut) bill spends $80 million for better Google searches, not job creation",FAKE,REAL,False Positive
A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,REAL,FAKE,False Negative
"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",FAKE,REAL,False Positive
2008 was the deadliest year of the war (in Afghanistan) for American forces.,REAL,FAKE,False Negative
Says Amanda Fritz manages less than 5 percent of city operations.,REAL,FAKE,False Negative
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,REAL,FAKE,False Negative
"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",REAL,FAKE,False Negative
Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,FAKE,REAL,False Positive
"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.",FAKE,REAL,False Positive
"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",FAKE,REAL,False Positive
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",REAL,FAKE,False Negative
"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",REAL,FAKE,False Negative
I havent raised taxes in the time Ive been the governor of New Jersey.,REAL,FAKE,False Negative
Massachusetts public schools teach kids as young as kindergartners about gay marriage.,FAKE,REAL,False Positive
I'm probably one of the four or five best-known Americans in the world.,FAKE,REAL,False Positive
Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.,FAKE,REAL,False Positive
SaysRand Paulhas put out budgets to cut the military in half.,FAKE,REAL,False Positive
Groups that receive foreign money are spending huge sums to influence American elections.,REAL,FAKE,False Negative
"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",REAL,FAKE,False Negative
We know that Saudi Arabia started al-Qaida.,REAL,FAKE,False Negative
"The fundraising numbers are in, and our grassroots support is unmatched!",FAKE,REAL,False Positive
"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.",REAL,FAKE,False Negative
"Obama voted ""to cut off funding for our American troops on the battlefield.""",FAKE,REAL,False Positive
"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.",REAL,FAKE,False Negative
"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",REAL,FAKE,False Negative
Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,FAKE,REAL,False Positive
These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,FAKE,REAL,False Positive
Jason Carter supports using Georgia tax dollars to promote Obamacare,FAKE,REAL,False Positive
"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",REAL,FAKE,False Negative
"There have even been Republican congressmen who have said, If you give us more money we dont know where we would even put additional Border Patrol agents.",FAKE,REAL,False Positive
"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.",REAL,FAKE,False Negative
The unemployment rate may be as high as 42 percent.,FAKE,REAL,False Positive
"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.",REAL,FAKE,False Negative
"Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.",FAKE,REAL,False Positive
What the Arizona law does is make a state crime out of something that already is... a federal crime.,REAL,FAKE,False Negative
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",REAL,FAKE,False Negative
"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",REAL,FAKE,False Negative
Says Kay Bailey Hutchison voted for sanctuary cities.,FAKE,REAL,False Positive
John wasn't this raging populist four years ago when he ran for president.,FAKE,REAL,False Positive
Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,FAKE,REAL,False Positive
Weve got a personal tax system thats so complicated it costs Americans about $500 billion a year to comply with the current tax code.,FAKE,REAL,False Positive
The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,REAL,FAKE,False Negative
"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.",FAKE,REAL,False Positive
Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,FAKE,REAL,False Positive
"Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.",FAKE,REAL,False Positive
The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,FAKE,REAL,False Positive
"In the entire public school system in Camden last year, only three students graduated college ready.",REAL,FAKE,False Negative
"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",FAKE,REAL,False Positive
U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.,FAKE,REAL,False Positive
"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",REAL,FAKE,False Negative
"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",REAL,FAKE,False Negative
Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,REAL,FAKE,False Negative
Says State Rep. Kristi Thibaut was an ACORN lobbyist.,REAL,FAKE,False Negative
Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,FAKE,REAL,False Positive
"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",FAKE,REAL,False Positive
There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.,FAKE,REAL,False Positive
"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",FAKE,REAL,False Positive
Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,FAKE,REAL,False Positive
Texas leads the nation in the percentage of residents without health insurance.,REAL,FAKE,False Negative
This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,FAKE,REAL,False Positive
A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,FAKE,REAL,False Positive
Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,FAKE,REAL,False Positive
"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",REAL,FAKE,False Negative
The DNC says McCain flip-flopped on whether the Iraq War would be easy.,REAL,FAKE,False Negative
Says Ohio law gives tax breaks to rich people who own private jets.,REAL,FAKE,False Negative
Says New Hampshire has the third-highest property tax in the country.,REAL,FAKE,False Negative
"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",REAL,FAKE,False Negative
"People were hopeless. Sixty percent of the population, 70 percent of the population wanted to live somewhere else. . . . By the time I left, 70 percent wanted to stay.",FAKE,REAL,False Positive
On whether the United States should intervene in Libya.,FAKE,REAL,False Positive
"John Kitzhaber created 128,000 new jobs while governor.",REAL,FAKE,False Negative
"Despite keeping distance from national media interviewers, I did local press all along, the last three months.",FAKE,REAL,False Positive
"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.",REAL,FAKE,False Negative
Americans spend 6.1 billion hours a year on tax preparation.,REAL,FAKE,False Negative
On letting Occupy Atlanta protesters stay in Woodruff Park.,REAL,FAKE,False Negative
"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.",REAL,FAKE,False Negative
Every president has raised the debt ceiling.,REAL,FAKE,False Negative
"Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls",FAKE,REAL,False Positive
The states have always defined marriage.,REAL,FAKE,False Negative
State government spending will be increase 10.7 percent this year.,FAKE,REAL,False Positive
The FCCs net neutrality policy includes whatis essentially a massive tax increase.,REAL,FAKE,False Negative
The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.,REAL,FAKE,False Negative
The minimum wage is mostly an entry-level wage for young people.,REAL,FAKE,False Negative
Says six studies verify that the math adds up for Mitt Romneys tax plan.,FAKE,REAL,False Positive
"In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.",REAL,FAKE,False Negative
"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.",FAKE,REAL,False Positive
Kendrick Meek was #1 in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for childrens health care.,FAKE,REAL,False Positive
"For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.",REAL,FAKE,False Negative
President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.,REAL,FAKE,False Negative
"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'""",REAL,FAKE,False Negative
Says 51 percent of federal tax filers paid zero federal income tax.,REAL,FAKE,False Negative
"Because of the 2011 debt ceiling fight, the stock market lost 2,000 points.",REAL,FAKE,False Negative
"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.",FAKE,REAL,False Positive
I would be the first Republican senator elected in New Jersey in 41 years.,REAL,FAKE,False Negative
Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,REAL,FAKE,False Negative
"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.",FAKE,REAL,False Positive
President Bush never did one interview with the New York Times during his entire presidency.,FAKE,REAL,False Positive
"14,000 Americans . . . lose their health insurance every single day.",REAL,FAKE,False Negative
"Mr. Trump is self-financing his campaign, so we dont have any donors.",FAKE,REAL,False Positive
"Embryonic stem cell research is at a dead end, with no one good example of a successful treatment.",FAKE,REAL,False Positive
The Affordable Care Act is bringing the cost of health care in our country down.,REAL,FAKE,False Negative
"Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.",REAL,FAKE,False Negative
"Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.",REAL,FAKE,False Negative
Annual precipitation has increased in Rhode Island by over 12 inches in the last century.,REAL,FAKE,False Negative
Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,REAL,FAKE,False Negative
